_id,kase,diss_matches,diss_match,case_name,docket_number,decision_date,case_citation,dissent_citation,part_of_opinion,judge,judge_cited,blurb,full_opinion,case_disposition,precedent_alteration
5d0955bc1ed0f7d321879510,2525260,4,1179,Elk Grove Unified School District v. Newdow,No. 02-1624,2004-06-14,542 U.S. 1,491 U.S. 397,majority,STEVENS,STEVENS,"“The very purpose of a national flag is to serve as a symbol of our country,” Texas v. Johnson, 491 U. S. 397, 405 (1989), and of its proud traditions “of freedom, of equal opportunity, of religious tolerance, and of good will for other peoples who share our aspirations,” id., at 437 (Stevens, J., dissenting). As its history illustrates, the Pledge of Allegiance evolved as a common public acknowledgment of the ideals that our flag symbolizes. Its recitation is a patriotic exercise designed to foster, national unity and pride in those principles.",https://api.case.law/v1/cases/2525260/?full_case=true&format=html,reversed,no determinable alteration of precedent
5d0955bc1ed0f7d321879511,2525260,4,26004,Elk Grove Unified School District v. Newdow,No. 02-1624,2004-06-14,542 U.S. 1,406 U.S. 205,majority,STEVENS,DOUGLAS,"7 “There are good and sufficient reasons for th[e] prudential limitation on standing when rights of third parties are implicated — the avoidance of the adjudication of rights which those not before the Court may not wish to assert, and the assurance that the most effective advocate of the rights at issue is present to champion them.” Duke Power Co. v. Carolina Environmental Study Group, Inc., 438 U. S. 59, 80 (1978). Banning tells us that her daughter has no objection to the Pledge, and we are mindful in cases such as this that “children themselves have constitutionally protectible interests.” Wisconsin v. Yoder, 406 U. S. 205, 243 (1972) (Douglas, J., dissenting). In a fundamental respect, “[i]t is the future of the student, not the future of the parents,” that is at stake. Id., at 245.",https://api.case.law/v1/cases/2525260/?full_case=true&format=html,reversed,no determinable alteration of precedent
5d0955bc1ed0f7d321879512,2525260,2,16645,Elk Grove Unified School District v. Newdow,No. 02-1624,2004-06-14,542 U.S. 1,366 U.S. 420,concurrence,OCONNOR,BRENNAN,"It is true that some of the legislators who voted to add the phrase “under God” to the Pledge may have done so in an attempt to attach to it an overtly religious message. See H. R. Rep. No. 1693, 83d Cong., 2d Sess., 2-3 (1954). But their intentions cannot, on their own, decide our inquiry. First of all, those legislators also had permissible secular objectives in mind — they meant, for example, to acknowledge the religious origins of our Nation’s belief in the “individuality and the dignity of the human being.” Id., at 1. Second — and more critically — the subsequent social and cultural history of the Pledge shows that its original secular character was not transformed by its amendment. In School Dist. of Abington Township v. Schempp, 374 U. S. 203 (1963), we explained that a government may initiate a practice “for the impermissible purpose of supporting religion” but nevertheless “retai[n] the la[w] for the permissible purpose of furthering overwhelmingly secular ends.” Id., at 263-264 (citing McGowan v. Maryland, 366 U. S. 420 (1961)). Whatever the sectarian ends its authors may have had in mind, our continued repetition of the reference to “one Nation under God” in an exclusively patriotic context has shaped the cultural significance of that phrase to conform to that context. Any religious freight the words may have been meant to carry originally has long since been lost. See Lynch, 465 U. S., at 716 (Brennan, J., dissenting) (suggesting that the reference to God in the Pledge might be permissible because it has “lost through rote repetition any significant religious content”).",https://api.case.law/v1/cases/2525260/?full_case=true&format=html,reversed,no determinable alteration of precedent
5d0955bc1ed0f7d321879513,2525260,2,17414,Elk Grove Unified School District v. Newdow,No. 02-1624,2004-06-14,542 U.S. 1,456 U.S. 228,concurrence,OCONNOR,SCALIA,"“The clearest command of the Establishment Clause is that one religious denomination cannot be officially preferred over another.” Larson v. Valente, 456 U. S. 228, 244 (1982). While general acknowledgments of religion need not be viewed by reasonable observers as denigrating the nonreligious, the same cannot be said of instances “where the endorsement is sectarian, in the sense of specifying details upon which men and women who believe in a benevolent, omnipotent Creator and Ruler of the world are known to differ.” Weisman, supra, at 641 (Scalia, J., dissenting). As a result, no religious acknowledgment could claim to be an instance of ceremonial deism if it explicitly favored one particular religious belief system over another.",https://api.case.law/v1/cases/2525260/?full_case=true&format=html,reversed,no determinable alteration of precedent
5d0955bc1ed0f7d321879514,2525260,13,14689,Elk Grove Unified School District v. Newdow,No. 02-1624,2004-06-14,542 U.S. 1,343 U.S. 306,concurrence,THOMAS,BLACK,"It is also conceivable that a government could “establish” a religion by imbuing it with governmental authority, see, e. g., Larkin v. Grendel’s Den, Inc., 459 U. S. 116 (1982), or by “delegating] its civic authority to a group chosen according to a religious criterion,” Board of Ed. of Kiryas Joel Village School Dist. v. Grumet, 512 U. S. 687, 698 (1994); County of Allegheny, 492 U. S., at 590-591. A religious organization that carries some measure of the authority of the State begins to look like a traditional “religious establishment,” at least when that authority can be used coercively. See also Zorach v. Clauson, 343 U. S. 306, 319 (1952) (Black, J., dissenting) (explaining that the Establishment Clause “insure[s] that no one powerful sect or combination of sects could use political or governmental power to punish dissenters whom they could not convert to their faith” (emphasis added)).",https://api.case.law/v1/cases/2525260/?full_case=true&format=html,reversed,no determinable alteration of precedent
5d0955bc1ed0f7d321879515,2525260,13,14856,Elk Grove Unified School District v. Newdow,No. 02-1624,2004-06-14,542 U.S. 1,343 U.S. 306,concurrence,THOMAS,BLACK,"It is also conceivable that a government could “establish” a religion by imbuing it with governmental authority, see, e. g., Larkin v. Grendel’s Den, Inc., 459 U. S. 116 (1982), or by “delegating] its civic authority to a group chosen according to a religious criterion,” Board of Ed. of Kiryas Joel Village School Dist. v. Grumet, 512 U. S. 687, 698 (1994); County of Allegheny, 492 U. S., at 590-591. A religious organization that carries some measure of the authority of the State begins to look like a traditional “religious establishment,” at least when that authority can be used coercively. See also Zorach v. Clauson, 343 U. S. 306, 319 (1952) (Black, J., dissenting) (explaining that the Establishment Clause “insure[s] that no one powerful sect or combination of sects could use political or governmental power to punish dissenters whom they could not convert to their faith” (emphasis added)).",https://api.case.law/v1/cases/2525260/?full_case=true&format=html,reversed,no determinable alteration of precedent
5d0955bc1ed0f7d321879516,2527700,3,20829,Rumsfeld v. Padilla,No. 03-1027,2004-06-28,542 U.S. 426,410 U.S. 484,dissent,STEVENS,REHNQUIST,"6 Although the Court makes no reference to venue principles, it is clear that those principles, not rigid jurisdictional rules, govern the forum determination. In overruling Ahrens v. Clark, 335 U. S. 188 (1948), the Court in Braden v. 80th Judicial Circuit Court of Ky., 410 U. S. 484 (1973), clarified that the place of detention pertains only to the question of venue. See id., at 493-495 (applying “traditional venue considerations” and rejecting a stricter jurisdictional approach); id., at 502 (Rehnquist, J., dissenting) (“Today the Court overrules Ahrens""), Moore v. Olson, 368 F. 3d 757, 758 (CA7 2004) (“[A]fter Braden.. . . , which overruled Ahrens, the location of a collateral attack is best understood as a matter of venue”); Armentero v. INS, 340 F 3d 1058, 1070 (CA9 2003) (“District courts may use traditional venue considerations to control where detainees bring habeas petitions” (citing Braden, 410 U. S., at 493-494)).",https://api.case.law/v1/cases/2527700/?full_case=true&format=html,reversed and remanded,no determinable alteration of precedent
5d0955bc1ed0f7d321879517,2528610,7,10905,Schriro v. Summerlin,No. 03-526,2004-06-24,542 U.S. 348,394 U.S. 244,majority,SCALIA,HARLAN,"The question here is not, however, whether the Framers believed that juries are more accurate factfinders than judges (perhaps so — they certainly thought juries were more independent, see Blakely v. Washington, ante, at 305-308). Nor is the question whether juries actually are more accurate factfinders than judges (again, perhaps so). Rather, the question is whether judicial factfinding so “seriously dimin-ishe[s]” accuracy that there is an ‘“impermissibly large risk’ ” of punishing conduct the law does not reach. Teague, supra, at 312-313 (quoting Desist v. United States, 394 U. S. 244, 262 (1969) (Harlan, J., dissenting)) (emphasis added). The evidence is simply too equivocal to support that conclusion.",https://api.case.law/v1/cases/2528610/?full_case=true&format=html,reversed and remanded,no determinable alteration of precedent
5d0955bc1ed0f7d321879518,2528610,8,1422,Schriro v. Summerlin,No. 03-526,2004-06-24,542 U.S. 348,521 U.S. 151,dissent,BREYER,STEVENS,"Teague v. Lane, 489 U. S. 288 (1989) (plurality opinion), sets forth the relevant retroactivity criteria.. A new procedural rule applies retroactively in habeas proceedings if the new procedure is (1) “implicit in the concept of ordered liberty,” implicating “fundamental fairness,” and (2) “central to an accurate determination of innocence or guilt,” such that its absence “creates an impermissibly large risk that the innocent will be convicted.” Id., at 311-313 (plurality opinion) (internal quotation marks omitted). In the context of a death sentence, where the matter is not one of “innocence or. guilt,” the second criterion asks whether the new procedure is “central to an accurate determination” that death is a legally appropriate punishment. Id., at 313 (emphasis added). See Sawyer v. Smith, 497 U. S. 227, 244 (1990); O’Dell v. Netherland, 521 U. S. 151, 171, n. 3 (1997) (Stevens, J., dissenting).",https://api.case.law/v1/cases/2528610/?full_case=true&format=html,reversed and remanded,no determinable alteration of precedent
5d0955bc1ed0f7d321879519,2528610,8,2635,Schriro v. Summerlin,No. 03-526,2004-06-24,542 U.S. 348,513 U.S. 504,dissent,BREYER,STEVENS,"As I explained in my separate concurrence in Ring, I believe the Eighth Amendment demands the use of a jury in capital sentencing because a death sentence must reflect a community-based judgment that the sentence constitutes proper retribution. See 536 U. S., at 614 (opinion concurring in judgment); see also Harris v. Alabama, 513 U. S. 504, 515-526 (1995) (Stevens, J., dissenting); Spaziano v. Florida, 468 U. S. 447, 467-490 (1984) (Stevens, J., concurring in part and dissenting in part). And a jury is significantly more likely than a judge to “express the conscience of the community on the ultimate question of life or death.” Witherspoon v. Illinois, 391 U. S. 510, 519 (1968). As Justice Stevens has pointed out:",https://api.case.law/v1/cases/2528610/?full_case=true&format=html,reversed and remanded,no determinable alteration of precedent
