name,citations,citations_minus_self_cite
stevens,1842,937
brennan,1763,853
oconnor,1207,870
scalia,1099,709
harlan,1055,965
powell,1055,793
marshall,1020,479
white,986,815
douglas,782,593
frankfurter,717,694
black,670,461
blackmun,575,428
thomas,562,204
stewart,543,478
kennedy,530,386
rehnquist,518,460
brandeis,437,435
burger,321,275
jackson,300,300
souter,260,194
breyer,254,146
holmes,221,221
ginsburg,116,72
goldberg,98,97
rutledge,98,97
clark,94,92
warren,93,90
brandis,87,87
stone,75,75
fortas,72,67
murphy,38,38
alito,35,29
field,34,34
roberts,28,28
burton,27,27
reed,22,22
bradley,19,19
cardozo,16,14
taney,14,14
vinson,13,13
brewer,12,12
iredell,11,11
mr,10,10
mcreynolds,9,9
hughes,9,9
johnson,7,7
per curium,7,7
butler,6,6
whittaker,6,6
pitney,6,6
chase,6,6
mclean,5,5
clifford,5,5
story,5,5
muepht,4,4
sanford,4,4
chief justice,3,3
sutherland,3,3
brown,3,3
hablan,3,3
stewaet,3,3
miller,3,3
day,3,3
caedozo,2,2
minton,2,2
mckenna,2,2
maeshall,2,2
bubger,2,2
stoke,2,2
blacicmun,2,2
taft,2,2
gray,2,2
fuller,2,2
ERROR,2,2
sotomayor,2,1
shiras,2,2
campbell,1,1
thompson,1,1
curtis,1,1
haban,1,1
breannan,1,1
blatchford,1,1
lamar,1,1
s,1,1
strong,1,1
mabshall,1,1
livingston,1,1
pwell,1,1
daniel,1,1
hunt,1,1
whittakek,1,1
grier,1,1
