citation,case_name,author,type,citations_count,citations_count_minus_self_cite,citations_by_maj
297 U.S. 288,Ashwander v. Tennessee Valley Authority,brandeis,concurrence,149,149,70
428 U.S. 153,Gregg v. Georgia,marshall,dissent,135,20,21
413 U.S. 49,Paris Adult Theatre I v. Slaton,brennan,dissent,85,14,4
413 U.S. 483,Heller v. New York,brennan,dissent,75,1,0
341 U.S. 123,Joint Anti-Fascist Refugee Committee v. McGrath,frankfurter,concurrence,72,71,38
465 U.S. 668,Lynch v. Donnelly,oconnor,concurrence,72,44,28
428 U.S. 153,Gregg v. Georgia,brennan,dissent,69,15,15
367 U.S. 497,Poe v. Ullman,harlan,dissent,67,65,16
274 U.S. 357,Whitney v. California,brandeis,concurrence,65,65,22
408 U.S. 238,Furman v. Georgia,stewart,concurrence,59,51,28
277 U.S. 438,Olmstead v. United States,brandeis,dissent,58,58,14
374 U.S. 203,School District v. Schempp,brennan,concurrence,56,31,13
408 U.S. 238,Furman v. Georgia,marshall,concurrence,55,27,11
478 U.S. 30,Thornburg v. Gingles,oconnor,concurrence,54,35,25
397 U.S. 358,In re Winship,harlan,concurrence,52,52,27
408 U.S. 238,Furman v. Georgia,brennan,concurrence,51,42,24
397 U.S. 436,Ashe v. Swenson,brennan,concurrence,50,7,6
408 U.S. 238,Furman v. Georgia,white,concurrence,50,42,21
285 U.S. 393,Burnet v. Coronado Oil & Gas Co.,brandeis,dissent,49,49,21
394 U.S. 244,Desist v. United States,harlan,dissent,47,45,25
401 U.S. 667,Mackey v. United States,harlan,concurring-in-part-dissenting-in-part,47,47,24
479 U.S. 538,California v. Brown,oconnor,concurrence,45,36,15
343 U.S. 579,Youngstown Sheet & Tube Co. v. Sawyer,jackson,concurrence,44,44,25
413 U.S. 49,Paris Adult Theatre I v. Slaton,douglas,dissent,44,44,44
389 U.S. 347,Katz v. United States,harlan,concurrence,43,43,15
250 U.S. 616,Abrams v. United States,holmes,dissent,43,43,17
472 U.S. 38,Wallace v. Jaffree,oconnor,concurrence,41,29,17
408 U.S. 238,Furman v. Georgia,burger,dissent,38,30,21
403 U.S. 388,Bivens v. Six Unknown Named Agents of Federal Bureau of Narcotics,harlan,concurrence,38,38,23
332 U.S. 46,Adamson v. California,black,dissent,36,22,7
448 U.S. 448,Fullilove v. Klutznick,stevens,dissent,36,22,10
412 U.S. 218,Schneckloth v. Bustamonte,powell,concurrence,36,20,17
514 U.S. 549,United States v. Lopez,kennedy,concurrence,35,30,15
330 U.S. 1,Everson v. Board of Education,rutledge,dissent,35,35,7
448 U.S. 448,Fullilove v. Klutznick,powell,concurrence,33,33,12
354 U.S. 476,Roth v. United States,douglas,dissent,33,26,20
446 U.S. 55,City of Mobile v. Bolden,stevens,concurrence,33,15,7
408 U.S. 238,Furman v. Georgia,powell,dissent,33,31,13
351 U.S. 12,Griffin v. Illinois,frankfurter,concurrence,33,33,14
487 U.S. 164,Franklin v. Lynaugh,oconnor,concurrence,32,23,16
354 U.S. 234,Sweezy v. New Hampshire ex rel. Wyman,frankfurter,concurrence,31,30,14
455 U.S. 104,Eddings v. Oklahoma,oconnor,concurrence,31,26,9
501 U.S. 957,Harmelin v. Michigan,kennedy,concurrence,31,24,15
374 U.S. 203,School District v. Schempp,goldberg,concurrence,30,30,8
472 U.S. 38,Wallace v. Jaffree,rehnquist,dissent,30,27,2
421 U.S. 723,Blue Chip Stamps v. Manor Drug Stores,powell,concurrence,29,11,19
462 U.S. 416,"City of Akron v. Akron Center for Reproductive Health, Inc.",oconnor,dissent,28,11,5
473 U.S. 234,Atascadero State Hospital v. Scanlon,brennan,dissent,28,16,5
512 U.S. 154,Simmons v. South Carolina,oconnor,concurrence,28,25,10
476 U.S. 267,Wygant v. Jackson Board of Education,oconnor,concurrence,28,18,17
408 U.S. 238,Furman v. Georgia,douglas,concurrence,27,27,12
163 U.S. 537,Plessy v. Ferguson,harlan,dissent,27,27,9
528 U.S. 377,Nixon v. Shrink Missouri Government PAC,breyer,concurrence,26,14,6
530 U.S. 466,Apprendi v. New Jersey,oconnor,dissent,26,18,4
497 U.S. 639,Walton v. Arizona,scalia,concurrence,26,10,3
411 U.S. 1,San Antonio Independent School District v. Rodriguez,marshall,dissent,25,6,1
338 U.S. 160,Brinegar v. United States,jackson,dissent,25,25,3
476 U.S. 267,Wygant v. Jackson Board of Education,stevens,dissent,24,14,8
418 U.S. 166,United States v. Richardson,powell,concurrence,24,17,10
462 U.S. 725,Karcher v. Daggett,stevens,concurrence,24,12,3
458 U.S. 50,Northern Pipeline Construction Co. v. Marathon Pipe Line Co.,rehnquist,concurrence,24,23,17
198 U.S. 45,Lochner v. New York,holmes,dissent,23,23,4
492 U.S. 573,County of Allegheny v. American Civil Liberties Union,kennedy,concurring-in-part-dissenting-in-part,23,17,5
413 U.S. 15,Miller v. California,douglas,dissent,23,23,22
297 U.S. 288,Ashwander v. Tennessee Valley Authority,brandis,concurrence,23,23,12
417 U.S. 843,Saxbe v. Washington Post Co.,powell,dissent,23,17,6
339 U.S. 56,United States v. Rabinowitz,frankfurter,dissent,23,23,6
285 U.S. 262,New State Ice Co. v. Liebmann,brandeis,dissent,23,23,4
514 U.S. 549,United States v. Lopez,thomas,concurrence,22,6,5
398 U.S. 333,Welsh v. United States,harlan,concurrence,22,22,11
416 U.S. 134,Arnett v. Kennedy,powell,concurrence,22,14,15
403 U.S. 388,Bivens v. Six Unknown Named Agents of Federal Bureau of Narcotics,burger,dissent,22,20,7
427 U.S. 215,Meachum v. Fano,stevens,dissent,22,8,1
413 U.S. 266,Almeida-Sanchez v. United States,powell,concurrence,22,9,12
455 U.S. 509,Rose v. Lundy,stevens,dissent,22,10,7
506 U.S. 1,Martin v. District of Columbia Court of Appeals,stevens,dissent,21,0,0
465 U.S. 668,Lynch v. Donnelly,brennan,dissent,21,17,12
381 U.S. 479,Griswold v. Connecticut,harlan,concurrence,20,18,4
461 U.S. 961,McCray v. New York,marshall,dissent,20,8,3
397 U.S. 664,Walz v. Tax Commission of New York,brennan,concurrence,20,13,5
518 U.S. 604,Colorado Republican Federal Campaign Committee v. Federal Election Commission,thomas,concurring-in-part-dissenting-in-part,20,5,2
365 U.S. 167,Monroe v. Pape,harlan,concurrence,20,17,7
422 U.S. 590,Brown v. Illinois,powell,concurrence,20,15,5
356 U.S. 165,Green v. United States,black,dissent,20,14,8
517 U.S. 44,Seminole Tribe of Florida v. Florida,souter,dissent,20,13,4
344 U.S. 443,Brown v. Allen,jackson,concurrence,20,20,11
488 U.S. 469,City of Richmond v. J. A. Croson Co.,scalia,concurrence,20,19,10
515 U.S. 753,Capitol Square Review & Advisory Board v. Pinette,oconnor,concurrence,20,19,8
372 U.S. 391,Fay v. Noia,harlan,dissent,19,17,5
448 U.S. 448,Fullilove v. Klutznick,marshall,concurrence,19,12,4
499 U.S. 1,Pacific Mutual Life Insurance v. Haslip,scalia,concurrence,19,8,7
460 U.S. 73,Connecticut v. Johnson,powell,dissent,19,13,12
423 U.S. 96,Michigan v. Mosley,white,concurrence,19,17,6
458 U.S. 782,Enmund v. Florida,oconnor,dissent,19,9,5
400 U.S. 548,Piccirillo v. New York,brennan,dissent,19,9,2
428 U.S. 153,Gregg v. Georgia,white,concurrence,19,17,5
405 U.S. 438,Eisenstadt v. Baird,white,concurrence,19,18,14
463 U.S. 939,Barclay v. Florida,stevens,concurrence,19,18,8
460 U.S. 730,Texas v. Brown,stevens,concurrence,19,14,9
492 U.S. 573,County of Allegheny v. American Civil Liberties Union,oconnor,concurrence,19,10,0
393 U.S. 544,Allen v. State Board of Elections,harlan,concurring-in-part-dissenting-in-part,18,18,5
497 U.S. 547,"Metro Broadcasting, Inc. v. Federal Communications Commission",oconnor,dissent,18,11,11
505 U.S. 577,Lee v. Weisman,scalia,dissent,18,14,0
424 U.S. 409,Imbler v. Pachtman,white,concurrence,18,13,11
487 U.S. 815,Thompson v. Oklahoma,oconnor,concurrence,18,11,3
478 U.S. 109,Davis v. Bandemer,oconnor,concurrence,18,17,6
428 U.S. 465,Stone v. Powell,white,dissent,18,10,10
381 U.S. 479,Griswold v. Connecticut,goldberg,concurrence,18,18,12
430 U.S. 199,Califano v. Goldfarb,stevens,concurrence,18,11,9
448 U.S. 555,"Richmond Newspapers, Inc. v. Virginia",brennan,concurrence,17,7,10
427 U.S. 160,Runyon v. McCrary,stevens,concurrence,17,7,6
460 U.S. 491,Florida v. Royer,brennan,concurrence,17,6,1
343 U.S. 579,Youngstown Sheet & Tube Co. v. Sawyer,frankfurter,concurrence,17,17,10
505 U.S. 504,"Cipollone v. Liggett Group, Inc.",scalia,concurring-in-part-dissenting-in-part,17,16,5
277 U.S. 438,Olmstead v. United States,holmes,dissent,17,17,1
397 U.S. 387,Waller v. Florida,brennan,concurrence,17,0,0
439 U.S. 128,Rakas v. Illinois,powell,concurrence,17,11,10
428 U.S. 325,Roberts v. Louisiana,white,dissent,17,15,1
496 U.S. 167,American Trucking Associations v. Smith,stevens,dissent,17,16,11
429 U.S. 1053,Thompson v. Oklahoma,brennan,dissent,17,0,0
277 U.S. 218,Panhandle Oil Co. v. Mississippi ex rel. Knox,holmes,dissent,17,17,7
476 U.S. 1,Skipper v. South Carolina,powell,concurrence,17,15,4
427 U.S. 539,Nebraska Press Ass'n v. Stuart,brennan,concurrence,17,14,7
369 U.S. 186,Baker v. Carr,frankfurter,dissent,17,17,3
277 U.S. 438,Olmstead v. United States,brandis,dissent,16,16,1
427 U.S. 50,"Young v. American Mini Theatres, Inc.",powell,concurrence,16,14,8
441 U.S. 677,Cannon v. University of Chicago,powell,dissent,16,9,6
462 U.S. 213,Illinois v. Gates,white,concurrence,16,5,11
354 U.S. 1,Reid v. Covert,harlan,concurrence,16,15,9
492 U.S. 257,"Browning-Ferris Industries of Vermont, Inc. v. Kelco Disposal, Inc.",oconnor,concurring-in-part-dissenting-in-part,16,9,4
401 U.S. 82,Perez v. Ledesma,brennan,concurring-in-part-dissenting-in-part,16,11,13
468 U.S. 447,Spaziano v. Florida,stevens,concurring-in-part-dissenting-in-part,16,13,0
492 U.S. 490,Webster v. Reproductive Health Services,oconnor,concurrence,16,11,6
502 U.S. 346,White v. Illinois,thomas,concurrence,16,10,5
144 U.S. 323,O’Neil v. Vermont,field,dissent,16,16,3
426 U.S. 229,Washington v. Davis,stevens,concurrence,16,6,4
336 U.S. 77,Kovacs v. Cooper,frankfurter,concurrence,16,15,5
383 U.S. 75,Rosenblatt v. Baer,stewart,concurrence,16,16,8
528 U.S. 377,Nixon v. Shrink Missouri Government PAC,thomas,dissent,15,6,2
411 U.S. 279,Employees of Department of Public Health v. Department of Public Health,marshall,concurrence,15,15,11
416 U.S. 134,Arnett v. Kennedy,white,concurring-in-part-dissenting-in-part,15,10,10
408 U.S. 238,Furman v. Georgia,blackmun,dissent,15,9,7
360 U.S. 315,Spano v. New York,douglas,concurrence,15,13,7
381 U.S. 479,Griswold v. Connecticut,white,concurrence,15,14,8
462 U.S. 696,United States v. Place,brennan,concurrence,15,8,1
512 U.S. 874,Holder v. Hall,thomas,concurrence,15,7,5
384 U.S. 436,Miranda v. Arizona,harlan,dissent,15,15,7
397 U.S. 471,Dandridge v. Williams,marshall,dissent,15,5,1
435 U.S. 110,United States v. Board of Commissioners,stevens,dissent,15,9,2
378 U.S. 52,Murphy v. Waterfront Commission of New York Harbor,white,concurrence,15,14,10
478 U.S. 421,Local 28 of the Sheet Metal Workers’ International Ass'n v. Equal Employment Opportunity Commission,powell,concurrence,15,15,8
547 U.S. 813,Davis v. Washington,thomas,concurring-in-part-dissenting-in-part,15,9,4
432 U.S. 233,Hankerson v. North Carolina,powell,concurrence,15,9,9
523 U.S. 224,Almendarez-Torres v. United States,scalia,dissent,14,12,4
399 U.S. 149,California v. Green,harlan,concurrence,14,14,8
515 U.S. 819,Rosenberger v. Rector & Visitors of University of Virginia,souter,dissent,14,3,1
388 U.S. 130,Curtis Publishing Co. v. Butts,warren,concurrence,14,14,9
400 U.S. 74,Dutton v. Evans,harlan,concurrence,14,14,10
476 U.S. 79,Batson v. Kentucky,marshall,concurrence,14,12,3
428 U.S. 262,Jurek v. Texas,white,concurrence,14,14,8
473 U.S. 479,"Sedima, S. P. R. L. v. Imrex Co.",marshall,dissent,14,14,5
514 U.S. 779,"U. S. Term Limits, Inc. v. Thornton",kennedy,concurrence,14,10,5
400 U.S. 112,Oregon v. Mitchell,stewart,concurring-in-part-dissenting-in-part,14,14,6
356 U.S. 86,Trop v. Dulles,brennan,concurrence,14,9,3
376 U.S. 254,New York Times Co. v. Sullivan,black,concurrence,14,10,0
506 U.S. 461,Graham v. Collins,thomas,concurrence,14,6,3
373 U.S. 1,Sanders v. United States,harlan,dissent,14,12,6
450 U.S. 621,San Diego Gas & Electric Co. v. City of San Diego,brennan,dissent,14,12,7
542 U.S. 1,Elk Grove Unified School District v. Newdow,thomas,concurrence,14,4,0
392 U.S. 83,Flast v. Cohen,harlan,dissent,14,14,6
367 U.S. 643,Mapp v. Ohio,harlan,dissent,14,12,7
515 U.S. 70,Missouri v. Jenkins,thomas,concurrence,14,4,3
428 U.S. 364,South Dakota v. Opperman,powell,concurrence,14,13,2
340 U.S. 268,Niemotko v. Maryland,frankfurter,concurrence,14,14,7
381 U.S. 301,Lamont v. Postmaster General,brennan,concurrence,14,8,3
365 U.S. 167,Monroe v. Pape,frankfurter,dissent,13,13,5
454 U.S. 263,Widmar v. Vincent,stevens,concurrence,13,4,3
533 U.S. 678,Zadvydas v. Davis,kennedy,dissent,13,10,5
516 U.S. 163,Lawrence ex rel. Lawrence v. Chater,scalia,dissent,13,2,1
461 U.S. 499,United States v. Hasting,stevens,concurrence,13,8,1
424 U.S. 828,Greer v. Spock,powell,concurrence,13,7,9
555 U.S. 555,Wyeth v. Levine,thomas,concurrence,13,4,6
515 U.S. 819,Rosenberger v. Rector & Visitors of University of Virginia,oconnor,concurrence,13,8,3
428 U.S. 52,Planned Parenthood of Central Missouri v. Danforth,stevens,concurring-in-part-dissenting-in-part,13,7,4
343 U.S. 451,Public Utilities Commission v. Pollak,douglas,dissent,13,7,3
469 U.S. 325,New Jersey v. T. L. O.,blackmun,concurrence,13,10,8
463 U.S. 1032,Michigan v. Long,stevens,dissent,13,3,0
505 U.S. 577,Lee v. Weisman,souter,concurrence,13,8,3
453 U.S. 490,"Metromedia, Inc. v. City of San Diego",brennan,concurrence,13,4,4
483 U.S. 350,McNally v. United States,stevens,dissent,13,9,6
473 U.S. 432,"City of Cleburne v. Cleburne Living Center, Inc.",stevens,concurrence,13,2,0
453 U.S. 490,"Metromedia, Inc. v. City of San Diego",stevens,dissent,13,5,7
477 U.S. 399,Ford v. Wainwright,powell,concurrence,13,13,5
438 U.S. 1,"Houchins v. KQED, Inc.",stevens,dissent,13,7,4
413 U.S. 189,Keyes v. School District No. 1,powell,concurring-in-part-dissenting-in-part,13,5,2
429 U.S. 190,Craig v. Boren,stevens,concurrence,13,3,0
368 U.S. 157,Garner v. Louisiana,harlan,concurrence,13,9,6
394 U.S. 111,Gregory v. City of Chicago,black,concurrence,13,13,10
360 U.S. 109,Barenblatt v. United States,black,dissent,13,7,1
478 U.S. 714,Bowsher v. Synar,stevens,concurrence,13,6,7
237 U.S. 309,Frank v. Mangum,holmes,dissent,13,13,8
427 U.S. 495,Mathews v. Lucas,stevens,dissent,13,2,0
461 U.S. 424,Hensley v. Eckerhart,brennan,concurring-in-part-dissenting-in-part,13,5,3
391 U.S. 145,Duncan v. Louisiana,harlan,dissent,13,12,4
505 U.S. 277,Wright v. West,kennedy,concurrence,13,10,7
517 U.S. 484,"44 Liquormart, Inc. v. Rhode Island",thomas,concurrence,13,4,4
329 U.S. 459,Louisiana ex rel. Francis v. Resweber,frankfurter,concurrence,13,13,4
494 U.S. 827,Kaiser Aluminum & Chemical Corp. v. Bonjorno,scalia,concurrence,12,9,7
446 U.S. 544,United States v. Mendenhall,powell,concurrence,12,12,5
529 U.S. 861,Geier v. American Honda Motor Co.,stevens,dissent,12,11,0
403 U.S. 713,New York Times Co. v. United States,brennan,concurrence,12,2,1
254 U.S. 443,Duplex Printing Press Co. v. Deering,brandeis,dissent,12,10,3
460 U.S. 491,Florida v. Royer,blackmun,dissent,12,8,7
459 U.S. 460,Hewitt v. Helms,stevens,dissent,12,12,0
353 U.S. 448,Textile Workers Union v. Lincoln Mills,frankfurter,dissent,12,12,4
504 U.S. 127,Riggins v. Nevada,kennedy,concurrence,12,11,7
443 U.S. 368,Gannett Co. v. DePasquale,blackmun,concurring-in-part-dissenting-in-part,12,11,4
430 U.S. 144,"United Jewish Organizations of Williamsburgh, Inc. v. Carey",brennan,concurrence,12,11,8
499 U.S. 1,Pacific Mutual Life Insurance v. Haslip,kennedy,concurrence,12,11,2
413 U.S. 123,United States v. 12 200-ft. Reels of Super 8mm. Film,douglas,dissent,12,12,11
442 U.S. 1,Greenholtz v. Inmates of the Nebraska Penal & Correctional Complex,marshall,dissent,12,8,3
530 U.S. 466,Apprendi v. New Jersey,thomas,concurrence,12,7,7
480 U.S. 709,O’Connor v. Ortega,scalia,concurrence,12,8,6
416 U.S. 134,Arnett v. Kennedy,marshall,dissent,12,10,5
428 U.S. 364,South Dakota v. Opperman,marshall,dissent,12,6,1
274 U.S. 357,Whitney v. California,brandis,concurrence,12,12,7
392 U.S. 1,Terry v. Ohio,white,concurrence,12,10,7
494 U.S. 652,Austin v. Michigan State Chamber of Commerce,scalia,dissent,12,10,5
413 U.S. 15,Miller v. California,brennan,dissent,12,4,3
463 U.S. 880,Barefoot v. Estelle,marshall,dissent,12,5,1
464 U.S. 417,"Sony Corp. of America v. Universal City Studios, Inc.",blackmun,dissent,12,10,9
482 U.S. 496,Booth v. Maryland,white,dissent,12,12,1
530 U.S. 793,Mitchell v. Helms,oconnor,concurrence,12,12,5
397 U.S. 286,United States v. Estate of Donnelly,harlan,concurrence,12,12,7
414 U.S. 338,United States v. Calandra,brennan,dissent,12,5,0
501 U.S. 560,"Barnes v. Glen Theatre, Inc.",souter,concurrence,12,12,10
541 U.S. 267,Vieth v. Jubelirer,stevens,dissent,12,9,9
428 U.S. 465,Stone v. Powell,brennan,dissent,12,8,1
474 U.S. 481,Witters v. Washington Department of Services for the Blind,oconnor,concurrence,12,8,6
395 U.S. 337,Sniadach v. Family Finance Corp.,harlan,concurrence,11,11,8
403 U.S. 443,Coolidge v. New Hampshire,white,concurring-in-part-dissenting-in-part,11,8,7
358 U.S. 498,Cammarano v. United States,douglas,concurrence,11,10,3
416 U.S. 995,Ciuzio v. United States,brennan,dissent,11,0,0
457 U.S. 55,Zobel v. Williams,brennan,concurrence,11,8,6
543 U.S. 371,Clark v. Martinez,thomas,dissent,11,1,1
462 U.S. 111,Maggio v. Fulford,marshall,dissent,11,6,5
458 U.S. 670,"Florida Department of State v. Treasure Salvors, Inc.",white,concurring-in-part-dissenting-in-part,11,11,8
501 U.S. 868,Freytag v. Commissioner,scalia,concurrence,11,9,5
417 U.S. 956,Tijerina v. New Mexico,brennan,dissent,11,0,0
463 U.S. 582,Guardians Ass'n v. Civil Service Commission,marshall,dissent,11,9,6
394 U.S. 557,Stanley v. Georgia,stewart,concurrence,11,9,5
520 U.S. 564,"Camps Newfound/Owatonna, Inc. v. Town of Harrison",thomas,dissent,11,1,0
463 U.S. 582,Guardians Ass'n v. Civil Service Commission,stevens,dissent,11,7,7
394 U.S. 217,Kaufman v. United States,black,dissent,11,9,3
499 U.S. 1,Pacific Mutual Life Insurance v. Haslip,oconnor,dissent,11,7,5
268 U.S. 652,Gitlow v. New York,holmes,dissent,11,11,2
393 U.S. 385,Hunter v. Erickson,harlan,concurrence,11,11,6
331 U.S. 145,Harris v. United States,frankfurter,dissent,11,11,3
541 U.S. 267,Vieth v. Jubelirer,souter,dissent,11,11,10
