judge,judge_cited,count
scalia,scalia,390
scalia,oconnor,91
scalia,stevens,89
scalia,rehnquist,55
scalia,white,51
scalia,kennedy,47
scalia,powell,41
scalia,brennan,38
scalia,harlan,35
scalia,blackmun,23
scalia,marshall,21
scalia,souter,19
scalia,thomas,19
scalia,stewart,17
scalia,black,15
scalia,douglas,13
scalia,breyer,13
scalia,frankfurter,12
scalia,burger,9
scalia,jackson,9
scalia,brandeis,8
scalia,holmes,7
scalia,ginsburg,5
scalia,clark,3
scalia,warren,2
scalia,alito,2
scalia,iredell,2
scalia,roberts,2
thomas,thomas,358
thomas,scalia,163
thomas,oconnor,105
thomas,stevens,72
thomas,kennedy,46
thomas,white,43
thomas,harlan,43
thomas,rehnquist,39
thomas,blackmun,28
thomas,powell,25
thomas,marshall,21
thomas,black,17
thomas,brennan,16
thomas,stewart,15
thomas,frankfurter,15
thomas,souter,15
thomas,burger,14
thomas,alito,11
thomas,douglas,11
thomas,brandeis,10
thomas,breyer,9
thomas,holmes,8
thomas,jackson,7
thomas,rutledge,4
thomas,stone,3
thomas,chase,3
thomas,clark,3
thomas,ginsburg,2
thomas,burton,2
ginsburg,stevens,50
ginsburg,ginsburg,44
ginsburg,scalia,36
ginsburg,oconnor,25
ginsburg,brennan,23
ginsburg,kennedy,19
ginsburg,brandeis,17
ginsburg,breyer,17
ginsburg,frankfurter,15
ginsburg,harlan,11
ginsburg,powell,11
ginsburg,souter,10
ginsburg,burger,9
ginsburg,white,7
ginsburg,rehnquist,7
ginsburg,marshall,7
ginsburg,blackmun,7
ginsburg,thomas,7
ginsburg,black,6
ginsburg,stewart,4
ginsburg,douglas,4
ginsburg,holmes,3
ginsburg,jackson,3
ginsburg,alito,2
alito,scalia,26
alito,stevens,19
alito,thomas,18
alito,harlan,16
alito,kennedy,11
alito,breyer,10
alito,alito,6
alito,rehnquist,6
alito,white,6
alito,powell,6
alito,oconnor,6
alito,black,5
alito,stewart,4
alito,marshall,4
alito,ginsburg,4
alito,brennan,4
alito,douglas,3
alito,brandeis,3
alito,souter,3
alito,blackmun,3
breyer,breyer,108
breyer,stevens,81
breyer,scalia,63
breyer,oconnor,58
breyer,kennedy,49
breyer,souter,33
breyer,brandeis,28
breyer,thomas,23
breyer,marshall,21
breyer,harlan,19
breyer,ginsburg,18
breyer,powell,18
breyer,frankfurter,17
breyer,rehnquist,17
breyer,brennan,17
breyer,blackmun,13
breyer,jackson,11
breyer,goldberg,10
breyer,holmes,9
breyer,white,8
breyer,stewart,6
breyer,black,6
breyer,brandis,4
breyer,rutledge,4
breyer,douglas,2
breyer,fortas,2
breyer,cardozo,2
breyer,roberts,2
breyer,murphy,2
white,white,172
white,harlan,48
white,powell,46
white,brennan,43
white,stewart,35
white,stevens,35
white,frankfurter,35
white,douglas,30
white,burger,20
white,oconnor,18
white,jackson,17
white,black,16
white,blackmun,16
white,rehnquist,15
white,marshall,15
white,brandeis,15
white,scalia,9
white,fortas,6
white,holmes,6
white,brandis,5
white,clark,4
white,goldberg,3
white,warren,3
white,field,3
white,stone,2
white,rutledge,2
hablan,harlan,3
hablan,frankfurter,2
sotomayor,oconnor,10
sotomayor,thomas,9
sotomayor,scalia,6
sotomayor,stevens,6
sotomayor,kennedy,5
sotomayor,black,5
sotomayor,powell,4
sotomayor,rehnquist,3
sotomayor,breyer,3
sotomayor,harlan,2
sotomayor,holmes,2
sotomayor,souter,2
sotomayor,douglas,2
sotomayor,alito,2
sotomayor,marshall,2
kagan,scalia,14
kagan,thomas,5
kagan,alito,4
kagan,kennedy,4
kagan,roberts,4
kagan,rutledge,2
kagan,oconnor,2
kagan,brandeis,2
kennedy,kennedy,144
kennedy,oconnor,87
kennedy,stevens,75
kennedy,scalia,72
kennedy,thomas,42
kennedy,brennan,36
kennedy,powell,30
kennedy,harlan,28
kennedy,white,28
kennedy,breyer,26
kennedy,rehnquist,25
kennedy,blackmun,21
kennedy,souter,19
kennedy,frankfurter,17
kennedy,marshall,15
kennedy,brandeis,13
kennedy,stewart,11
kennedy,jackson,10
kennedy,burger,7
kennedy,rutledge,5
kennedy,black,5
kennedy,douglas,5
kennedy,ginsburg,5
kennedy,goldberg,4
kennedy,alito,4
kennedy,holmes,4
kennedy,iredell,3
kennedy,field,2
stevens,stevens,905
stevens,oconnor,146
stevens,brennan,125
stevens,scalia,120
stevens,white,116
stevens,powell,114
stevens,harlan,101
stevens,rehnquist,90
stevens,frankfurter,85
stevens,kennedy,75
stevens,stewart,73
stevens,marshall,71
stevens,blackmun,66
stevens,brandeis,63
stevens,souter,46
stevens,douglas,44
stevens,thomas,44
stevens,burger,42
stevens,jackson,40
stevens,black,35
stevens,breyer,32
stevens,holmes,30
stevens,rutledge,16
stevens,brandis,15
stevens,goldberg,13
stevens,ginsburg,12
stevens,clark,11
stevens,stone,9
stevens,fortas,5
stevens,murphy,4
stevens,warren,3
stevens,field,3
stevens,roberts,3
stevens,burton,2
stevens,reed,2
stevens,bradley,2
douglas,douglas,190
douglas,black,74
douglas,brennan,39
douglas,frankfurter,22
douglas,holmes,18
douglas,jackson,15
douglas,harlan,15
douglas,brandeis,12
douglas,stewart,9
douglas,warren,9
douglas,goldberg,8
douglas,rutledge,7
douglas,fortas,6
douglas,marshall,5
douglas,clark,5
douglas,brandis,4
douglas,white,3
douglas,murphy,3
douglas,roberts,3
douglas,stone,3
douglas,powell,2
douglas,burton,2
douglas,sanford,2
douglas,hughes,2
douglas,chief justice,2
douglas,sutherland,2
burger,harlan,47
burger,burger,46
burger,frankfurter,36
burger,powell,36
burger,white,32
burger,brennan,30
